"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06, 2021","120.30","121.50","121.56","120.05","5.74M","-1.37%"
"Jul 05, 2021","121.97","122.58","122.58","121.66","4.44M","-0.66%"
"Jul 02, 2021","122.78","121.71","122.86","121.22","6.80M","1.70%"
"Jul 01, 2021","120.73","122.12","122.29","120.20","6.44M","-0.89%"
"Jun 30, 2021","121.81","121.87","122.34","121.34","4.42M","-0.41%"
"Jun 29, 2021","122.31","122.55","122.59","121.33","5.28M","-0.11%"
"Jun 28, 2021","122.45","122.57","123.22","121.80","5.94M","-0.04%"
"Jun 25, 2021","122.50","124.93","124.93","121.76","5.25M","-1.63%"
"Jun 24, 2021","124.53","124.74","124.74","123.91","3.70M","0.80%"
"Jun 23, 2021","123.54","123.82","124.95","123.25","4.93M","-0.23%"
"Jun 22, 2021","123.82","123.76","124.61","122.90","4.57M","-0.33%"
"Jun 21, 2021","124.23","123.22","124.51","123.11","4.92M","0.78%"
"Jun 18, 2021","123.27","123.39","123.88","122.61","4.71M","0.15%"
"Jun 17, 2021","123.09","124.21","124.96","122.72","5.28M","-0.91%"
"Jun 16, 2021","124.22","125.38","125.38","123.42","7.22M","-0.77%"
"Jun 15, 2021","125.18","125.17","125.33","124.32","4.46M","0.02%"
"Jun 14, 2021","125.15","125.29","126.14","124.71","5.34M","0.54%"
"Jun 11, 2021","124.48","125.57","125.57","123.76","4.49M","-0.42%"
"Jun 10, 2021","125.00","125.36","125.59","124.35","5.07M","0.10%"
"Jun 09, 2021","124.88","124.91","125.92","124.37","5.37M","0.14%"
"Jun 08, 2021","124.71","125.50","125.81","124.35","6.62M","-0.83%"
"Jun 07, 2021","125.75","124.80","126.22","124.56","5.56M","0.56%"
"Jun 04, 2021","125.05","124.46","125.18","124.16","4.72M","0.30%"
"Jun 02, 2021","124.67","123.51","124.67","123.21","7.37M","1.09%"
"Jun 01, 2021","123.33","122.49","123.50","122.49","7.09M","1.72%"
"May 31, 2021","121.25","120.84","121.25","120.28","4.71M","0.44%"
"May 28, 2021","120.72","119.75","120.89","119.53","5.99M","0.94%"
"May 27, 2021","119.59","119.46","119.83","118.79","6.04M","0.29%"
"May 26, 2021","119.24","118.94","119.58","118.79","4.72M","0.71%"
"May 25, 2021","118.40","119.89","119.97","118.05","5.70M","-0.72%"
"May 24, 2021","119.26","118.26","119.50","117.96","5.79M","1.06%"
"May 21, 2021","118.01","118.01","118.13","117.10","5.17M","0.08%"
"May 20, 2021","117.91","118.05","118.14","117.48","4.83M","-0.08%"
"May 19, 2021","118.01","117.07","118.54","116.94","4.84M","-0.15%"
"May 18, 2021","118.19","118.09","118.88","117.74","5.46M","-0.10%"
"May 17, 2021","118.31","117.07","118.41","117.06","5.28M","0.91%"
"May 14, 2021","117.24","117.18","117.56","116.38","5.05M","1.03%"
"May 13, 2021","116.04","115.61","116.82","115.28","7.59M","0.67%"
"May 12, 2021","115.27","116.86","117.09","114.84","9.24M","-2.42%"
"May 11, 2021","118.13","116.00","118.13","115.61","6.54M","0.85%"
"May 10, 2021","117.14","117.75","118.07","117.13","6.07M","-0.27%"
"May 07, 2021","117.46","115.76","117.46","115.68","4.69M","1.76%"
"May 06, 2021","115.43","114.97","115.45","114.54","7.73M","0.24%"
"May 05, 2021","115.15","114.05","115.29","113.73","7.25M","1.66%"
"May 04, 2021","113.27","114.80","114.80","113.16","8.94M","-1.23%"
"May 03, 2021","114.68","115.30","115.38","113.94","5.41M","0.24%"
"Apr 30, 2021","114.40","114.78","115.59","114.33","6.03M","-0.80%"
"Apr 29, 2021","115.32","116.63","116.88","115.14","9.10M","-0.93%"
"Apr 28, 2021","116.40","115.48","116.69","115.37","8.86M","1.41%"
"Apr 27, 2021","114.78","116.02","116.49","114.45","6.17M","-1.01%"
"Apr 26, 2021","115.95","116.73","116.73","115.15","5.22M","-0.02%"
"Apr 23, 2021","115.97","115.58","116.27","115.35","6.15M","0.89%"
"Apr 22, 2021","114.95","116.40","116.43","114.65","8.62M","-0.46%"
"Apr 20, 2021","115.48","116.10","116.68","115.29","5.91M","-0.74%"
"Apr 19, 2021","116.34","116.46","117.35","116.00","13.29M","-0.10%"
"Apr 16, 2021","116.46","115.92","116.75","115.60","5.29M","0.22%"
"Apr 15, 2021","116.20","116.16","116.78","115.50","8.11M","0.52%"
"Apr 14, 2021","115.60","114.92","116.26","114.90","7.21M","0.81%"
"Apr 13, 2021","114.67","114.16","115.00","113.50","7.14M","0.24%"
"Apr 12, 2021","114.40","113.77","114.56","113.65","5.09M","1.23%"
"Apr 09, 2021","113.01","113.20","114.18","112.75","5.67M","-0.65%"
"Apr 08, 2021","113.75","113.30","114.49","112.97","7.18M","0.50%"
"Apr 07, 2021","113.18","112.76","113.86","112.25","8.16M","-0.08%"
"Apr 06, 2021","113.27","113.14","113.74","112.70","5.28M","0.05%"
"Apr 05, 2021","113.21","111.92","113.21","111.82","7.57M","2.29%"
"Apr 01, 2021","110.68","112.33","112.65","110.56","7.63M","-1.20%"
"Mar 31, 2021","112.02","112.37","112.83","111.47","8.45M","-0.36%"
"Mar 30, 2021","112.43","110.43","112.70","110.36","8.81M","1.32%"
"Mar 29, 2021","110.96","109.84","111.24","109.76","5.80M","0.62%"
"Mar 26, 2021","110.28","109.41","111.11","109.00","9.49M","0.82%"
"Mar 25, 2021","109.38","107.73","109.79","106.69","10.03M","1.40%"
"Mar 24, 2021","107.87","109.50","110.55","107.76","8.57M","-1.05%"
"Mar 23, 2021","109.02","110.02","111.29","108.74","6.76M","-1.51%"
"Mar 22, 2021","110.69","110.78","111.14","109.32","7.55M","-0.90%"
"Mar 19, 2021","111.70","110.86","112.10","110.30","5.64M","1.09%"
"Mar 18, 2021","110.50","111.57","112.37","110.00","9.84M","-1.38%"
"Mar 17, 2021","112.05","109.07","112.38","108.98","8.49M","2.15%"
"Mar 16, 2021","109.69","110.28","110.61","109.00","6.73M","-0.88%"
"Mar 15, 2021","110.66","109.21","110.66","109.21","6.73M","0.89%"
"Mar 12, 2021","109.68","109.61","110.09","108.90","9.66M","-0.70%"
"Mar 11, 2021","110.45","109.59","110.75","108.93","12.78M","1.68%"
"Mar 10, 2021","108.63","107.60","108.68","105.70","11.06M","1.34%"
"Mar 09, 2021","107.19","106.19","108.50","105.20","12.62M","1.75%"
"Mar 08, 2021","105.35","108.76","110.22","105.35","15.60M","-5.03%"
"Mar 05, 2021","110.93","108.33","111.09","108.04","15.20M","2.17%"
"Mar 04, 2021","108.57","107.39","110.18","107.07","13.00M","1.32%"
"Mar 03, 2021","107.16","107.00","108.40","103.38","18.10M","-0.32%"
"Mar 02, 2021","107.50","104.99","108.23","103.16","21.49M","1.47%"
"Mar 01, 2021","105.94","107.41","108.24","105.94","9.91M","0.33%"
"Feb 26, 2021","105.59","108.40","109.21","105.59","13.78M","-1.80%"
"Feb 25, 2021","107.53","111.50","112.14","107.51","10.15M","-3.53%"
