Lanчamento;Hora;Atual;Projeчуo;Prщvio
01.02.2005 (Jan);06:00:00;0,102;а;0,096
01.01.2005 (Dez);06:00:00;0,096;а;0,107
01.12.2004 (Nov);06:00:00;0,107;а;0,105
01.11.2004 (Out);06:00:00;0,105;а;0,109
01.10.2004 (Set);06:00:00;0,109;а;0,114
01.09.2004 (Ago);06:00:00;0,114;а;0,112
01.08.2004 (Jul);06:00:00;0,112;а;0,117
01.07.2004 (Jun);06:00:00;0,117;а;0,122
01.06.2004 (Mai);06:00:00;0,122;а;0,131
01.05.2004 (Abr);06:00:00;0,131;а;0,128
01.04.2004 (Mar);06:00:00;0,128;а;0,12
01.03.2004 (Fev);06:00:00;0,12;а;0,117
01.02.2004 (Jan);06:00:00;0,117;а;0,109
01.01.2004 (Dez);06:00:00;0,109;а;0,122
01.12.2003 (Nov);06:00:00;0,122;а;0,13
01.11.2003 (Out);06:00:00;0,13;а;0,13
01.10.2003 (Set);06:00:00;0,13;а;0,131
01.09.2003 (Ago);06:00:00;0,131;а;0,128
01.08.2003 (Jul);06:00:00;0,128;а;0,13
01.07.2003 (Jun);06:00:00;0,13;а;0,129
01.06.2003 (Mai);06:00:00;0,129;а;0,125
01.05.2003 (Abr);06:00:00;0,125;а;0,121
01.04.2003 (Mar);06:00:00;0,121;а;0,116
01.03.2003 (Fev);06:00:00;0,116;а;0,112
01.02.2003 (Jan);06:00:00;0,112;а;0,105
01.01.2003 (Dez);06:00:00;0,105;а;0,109
01.12.2002 (Nov);06:00:00;0,109;а;0,112
01.11.2002 (Out);06:00:00;0,112;а;0,115
01.10.2002 (Set);06:00:00;0,115;а;0,117
01.09.2002 (Ago);06:00:00;0,117;а;0,119
01.08.2002 (Jul);06:00:00;0,119;а;0,116
01.07.2002 (Jun);06:00:00;0,116;а;0,119
01.06.2002 (Mai);06:00:00;0,119;а;0,125
01.05.2002 (Abr);06:00:00;0,125;а;0,129
01.04.2002 (Mar);06:00:00;0,129;а;0,125
01.03.2002 (Fev);06:00:00;0,125;а;0,111
01.02.2002 (Jan);06:00:00;0,111;а;0,106
01.01.2002 (Dez);06:00:00;0,106;а;0,115
01.12.2001 (Nov);06:00:00;0,115;а;0,117
01.11.2001 (Out);06:00:00;0,117;а;а
